"Notes"	"Census Region"	"Census Region Code"	"Year"	"Year Code"	"Age of Mother 9"	"Age of Mother 9 Code"	Births	Female Population	Fertility Rate
	"Census Region 3: South"	"CENS-R3"	"2009"	"2009"	"15-19 years"	"15-19"	186447	3960040	47.08
	"Census Region 3: South"	"CENS-R3"	"2009"	"2009"	"20-24 years"	"20-24"	428261	3885583	110.22
	"Census Region 3: South"	"CENS-R3"	"2009"	"2009"	"25-29 years"	"25-29"	440150	3908162	112.62
	"Census Region 3: South"	"CENS-R3"	"2009"	"2009"	"30-34 years"	"30-34"	327737	3671079	89.28
	"Census Region 3: South"	"CENS-R3"	"2009"	"2009"	"35-39 years"	"35-39"	157766	3894038	40.51
	"Census Region 3: South"	"CENS-R3"	"2009"	"2009"	"40-44 years"	"40-44"	33390	3920263	8.52
"Total"	"Census Region 3: South"	"CENS-R3"	"2009"	"2009"			1573751	23239165	67.72
	"Census Region 3: South"	"CENS-R3"	"2010"	"2010"	"15-19 years"	"15-19"	166489	3946409	42.19
	"Census Region 3: South"	"CENS-R3"	"2010"	"2010"	"20-24 years"	"20-24"	404350	3934998	102.76
	"Census Region 3: South"	"CENS-R3"	"2010"	"2010"	"25-29 years"	"25-29"	427601	3908127	109.41
	"Census Region 3: South"	"CENS-R3"	"2010"	"2010"	"30-34 years"	"30-34"	330502	3742139	88.32
	"Census Region 3: South"	"CENS-R3"	"2010"	"2010"	"35-39 years"	"35-39"	154791	3855114	40.15
	"Census Region 3: South"	"CENS-R3"	"2010"	"2010"	"40-44 years"	"40-44"	34349	3908912	8.79
"Total"	"Census Region 3: South"	"CENS-R3"	"2010"	"2010"			1518082	23295699	65.17
	"Census Region 3: South"	"CENS-R3"	"2011"	"2011"	"15-19 years"	"15-19"	149941	3865607	38.79
	"Census Region 3: South"	"CENS-R3"	"2011"	"2011"	"20-24 years"	"20-24"	394464	4062820	97.09
	"Census Region 3: South"	"CENS-R3"	"2011"	"2011"	"25-29 years"	"25-29"	426237	3935806	108.30
	"Census Region 3: South"	"CENS-R3"	"2011"	"2011"	"30-34 years"	"30-34"	340152	3849593	88.36
	"Census Region 3: South"	"CENS-R3"	"2011"	"2011"	"35-39 years"	"35-39"	154796	3751452	41.26
	"Census Region 3: South"	"CENS-R3"	"2011"	"2011"	"40-44 years"	"40-44"	35330	3962955	8.92
"Total"	"Census Region 3: South"	"CENS-R3"	"2011"	"2011"			1500920	23428233	64.06
	"Census Region 3: South"	"CENS-R3"	"2012"	"2012"	"15-19 years"	"15-19"	139052	3826898	36.34
	"Census Region 3: South"	"CENS-R3"	"2012"	"2012"	"20-24 years"	"20-24"	392379	4148388	94.59
	"Census Region 3: South"	"CENS-R3"	"2012"	"2012"	"25-29 years"	"25-29"	427123	3958043	107.91
	"Census Region 3: South"	"CENS-R3"	"2012"	"2012"	"30-34 years"	"30-34"	351350	3924882	89.52
	"Census Region 3: South"	"CENS-R3"	"2012"	"2012"	"35-39 years"	"35-39"	157667	3729429	42.28
	"Census Region 3: South"	"CENS-R3"	"2012"	"2012"	"40-44 years"	"40-44"	35646	3995540	8.92
"Total"	"Census Region 3: South"	"CENS-R3"	"2012"	"2012"			1503217	23583180	63.74
	"Census Region 3: South"	"CENS-R3"	"2013"	"2013"	"15-19 years"	"15-19"	125655	3815411	32.93
	"Census Region 3: South"	"CENS-R3"	"2013"	"2013"	"20-24 years"	"20-24"	388020	4175216	92.93
	"Census Region 3: South"	"CENS-R3"	"2013"	"2013"	"25-29 years"	"25-29"	431553	3987188	108.23
	"Census Region 3: South"	"CENS-R3"	"2013"	"2013"	"30-34 years"	"30-34"	362331	3988577	90.84
	"Census Region 3: South"	"CENS-R3"	"2013"	"2013"	"35-39 years"	"35-39"	161385	3743370	43.11
	"Census Region 3: South"	"CENS-R3"	"2013"	"2013"	"40-44 years"	"40-44"	36296	4002804	9.07
"Total"	"Census Region 3: South"	"CENS-R3"	"2013"	"2013"			1505240	23712566	63.48
	"Census Region 3: South"	"CENS-R3"	"2014"	"2014"	"15-19 years"	"15-19"	115857	3831013	30.24
	"Census Region 3: South"	"CENS-R3"	"2014"	"2014"	"20-24 years"	"20-24"	384567	4192487	91.73
	"Census Region 3: South"	"CENS-R3"	"2014"	"2014"	"25-29 years"	"25-29"	445685	4080066	109.23
	"Census Region 3: South"	"CENS-R3"	"2014"	"2014"	"30-34 years"	"30-34"	380688	4049741	94.00
	"Census Region 3: South"	"CENS-R3"	"2014"	"2014"	"35-39 years"	"35-39"	172058	3805788	45.21
	"Census Region 3: South"	"CENS-R3"	"2014"	"2014"	"40-44 years"	"40-44"	36671	3986163	9.20
"Total"	"Census Region 3: South"	"CENS-R3"	"2014"	"2014"			1535526	23945258	64.13
	"Census Region 3: South"	"CENS-R3"	"2015"	"2015"	"15-19 years"	"15-19"	107785	3875359	27.81
	"Census Region 3: South"	"CENS-R3"	"2015"	"2015"	"20-24 years"	"20-24"	374395	4150641	90.20
	"Census Region 3: South"	"CENS-R3"	"2015"	"2015"	"25-29 years"	"25-29"	454364	4186952	108.52
	"Census Region 3: South"	"CENS-R3"	"2015"	"2015"	"30-34 years"	"30-34"	389474	4082506	95.40
	"Census Region 3: South"	"CENS-R3"	"2015"	"2015"	"35-39 years"	"35-39"	180081	3897541	46.20
	"Census Region 3: South"	"CENS-R3"	"2015"	"2015"	"40-44 years"	"40-44"	37934	3939155	9.63
"Total"	"Census Region 3: South"	"CENS-R3"	"2015"	"2015"			1544033	24132154	63.98
	"Census Region 3: South"	"CENS-R3"	"2016"	"2016"	"15-19 years"	"15-19"	99892	3912364	25.53
	"Census Region 3: South"	"CENS-R3"	"2016"	"2016"	"20-24 years"	"20-24"	354227	4078755	86.85
	"Census Region 3: South"	"CENS-R3"	"2016"	"2016"	"25-29 years"	"25-29"	453136	4280810	105.85
	"Census Region 3: South"	"CENS-R3"	"2016"	"2016"	"30-34 years"	"30-34"	396292	4103720	96.57
	"Census Region 3: South"	"CENS-R3"	"2016"	"2016"	"35-39 years"	"35-39"	188264	3984812	47.25
	"Census Region 3: South"	"CENS-R3"	"2016"	"2016"	"40-44 years"	"40-44"	38290	3852347	9.94
"Total"	"Census Region 3: South"	"CENS-R3"	"2016"	"2016"			1530101	24212808	63.19
	"Census Region 3: South"	"CENS-R3"	"2017"	"2017"	"15-19 years"	"15-19"	92934	3942019	23.58
	"Census Region 3: South"	"CENS-R3"	"2017"	"2017"	"20-24 years"	"20-24"	339660	4034021	84.20
	"Census Region 3: South"	"CENS-R3"	"2017"	"2017"	"25-29 years"	"25-29"	446992	4367569	102.34
	"Census Region 3: South"	"CENS-R3"	"2017"	"2017"	"30-34 years"	"30-34"	391387	4130090	94.76
	"Census Region 3: South"	"CENS-R3"	"2017"	"2017"	"35-39 years"	"35-39"	190514	4073039	46.77
	"Census Region 3: South"	"CENS-R3"	"2017"	"2017"	"40-44 years"	"40-44"	38712	3845577	10.07
"Total"	"Census Region 3: South"	"CENS-R3"	"2017"	"2017"			1500199	24392315	61.50
	"Census Region 3: South"	"CENS-R3"	"2018"	"2018"	"15-19 years"	"15-19"	86939	3963260	21.94
	"Census Region 3: South"	"CENS-R3"	"2018"	"2018"	"20-24 years"	"20-24"	324332	4025564	80.57
	"Census Region 3: South"	"CENS-R3"	"2018"	"2018"	"25-29 years"	"25-29"	441390	4406613	100.17
	"Census Region 3: South"	"CENS-R3"	"2018"	"2018"	"30-34 years"	"30-34"	393983	4167570	94.54
	"Census Region 3: South"	"CENS-R3"	"2018"	"2018"	"35-39 years"	"35-39"	196360	4147551	47.34
	"Census Region 3: South"	"CENS-R3"	"2018"	"2018"	"40-44 years"	"40-44"	39884	3863612	10.32
"Total"	"Census Region 3: South"	"CENS-R3"	"2018"	"2018"			1482888	24574170	60.34
	"Census Region 3: South"	"CENS-R3"	"2019"	"2019"	"15-19 years"	"15-19"	84230	3972572	21.20
	"Census Region 3: South"	"CENS-R3"	"2019"	"2019"	"20-24 years"	"20-24"	318574	4010458	79.44
	"Census Region 3: South"	"CENS-R3"	"2019"	"2019"	"25-29 years"	"25-29"	435769	4389441	99.28
	"Census Region 3: South"	"CENS-R3"	"2019"	"2019"	"30-34 years"	"30-34"	395418	4232006	93.44
	"Census Region 3: South"	"CENS-R3"	"2019"	"2019"	"35-39 years"	"35-39"	199647	4184976	47.71
	"Census Region 3: South"	"CENS-R3"	"2019"	"2019"	"40-44 years"	"40-44"	41021	3905854	10.50
"Total"	"Census Region 3: South"	"CENS-R3"	"2019"	"2019"			1474659	24695307	59.71
	"Census Region 3: South"	"CENS-R3"	"2020"	"2020"	"15-19 years"	"15-19"	79038	3974650	19.89
	"Census Region 3: South"	"CENS-R3"	"2020"	"2020"	"20-24 years"	"20-24"	304108	4048638	75.11
	"Census Region 3: South"	"CENS-R3"	"2020"	"2020"	"25-29 years"	"25-29"	418030	4339940	96.32
	"Census Region 3: South"	"CENS-R3"	"2020"	"2020"	"30-34 years"	"30-34"	391660	4330838	90.44
	"Census Region 3: South"	"CENS-R3"	"2020"	"2020"	"35-39 years"	"35-39"	197800	4209188	46.99
	"Census Region 3: South"	"CENS-R3"	"2020"	"2020"	"40-44 years"	"40-44"	41799	3990635	10.47
"Total"	"Census Region 3: South"	"CENS-R3"	"2020"	"2020"			1432435	24893889	57.54
	"Census Region 3: South"	"CENS-R3"	"2021"	"2021"	"15-19 years"	"15-19"	74199	Not Available	Not Available
	"Census Region 3: South"	"CENS-R3"	"2021"	"2021"	"20-24 years"	"20-24"	299077	Not Available	Not Available
	"Census Region 3: South"	"CENS-R3"	"2021"	"2021"	"25-29 years"	"25-29"	420971	Not Available	Not Available
	"Census Region 3: South"	"CENS-R3"	"2021"	"2021"	"30-34 years"	"30-34"	410432	Not Available	Not Available
	"Census Region 3: South"	"CENS-R3"	"2021"	"2021"	"35-39 years"	"35-39"	207898	Not Available	Not Available
	"Census Region 3: South"	"CENS-R3"	"2021"	"2021"	"40-44 years"	"40-44"	44425	Not Available	Not Available
"Total"	"Census Region 3: South"	"CENS-R3"	"2021"	"2021"			1457002	Not Available	Not Available
	"Census Region 3: South"	"CENS-R3"	"2022"	"2022"	"15-19 years"	"15-19"	72953	Not Available	Not Available
	"Census Region 3: South"	"CENS-R3"	"2022"	"2022"	"20-24 years"	"20-24"	298366	Not Available	Not Available
	"Census Region 3: South"	"CENS-R3"	"2022"	"2022"	"25-29 years"	"25-29"	426107	Not Available	Not Available
	"Census Region 3: South"	"CENS-R3"	"2022"	"2022"	"30-34 years"	"30-34"	421301	Not Available	Not Available
	"Census Region 3: South"	"CENS-R3"	"2022"	"2022"	"35-39 years"	"35-39"	216909	Not Available	Not Available
	"Census Region 3: South"	"CENS-R3"	"2022"	"2022"	"40-44 years"	"40-44"	47505	Not Available	Not Available
"Total"	"Census Region 3: South"	"CENS-R3"	"2022"	"2022"			1483141	Not Available	Not Available
"Total"	"Census Region 3: South"	"CENS-R3"					24291284	334305203	72.66
	"Census Region 4: West"	"CENS-R4"	"2007"	"2007"	"15-19 years"	"15-19"	104746	2518255	41.59
	"Census Region 4: West"	"CENS-R4"	"2007"	"2007"	"20-24 years"	"20-24"	261999	2412141	108.62
	"Census Region 4: West"	"CENS-R4"	"2007"	"2007"	"25-29 years"	"25-29"	301058	2499474	120.45
	"Census Region 4: West"	"CENS-R4"	"2007"	"2007"	"30-34 years"	"30-34"	246341	2293157	107.42
	"Census Region 4: West"	"CENS-R4"	"2007"	"2007"	"35-39 years"	"35-39"	133656	2449547	54.56
	"Census Region 4: West"	"CENS-R4"	"2007"	"2007"	"40-44 years"	"40-44"	29637	2459460	12.05
"Total"	"Census Region 4: West"	"CENS-R4"	"2007"	"2007"			1077437	14632034	73.64
	"Census Region 4: West"	"CENS-R4"	"2008"	"2008"	"15-19 years"	"15-19"	102044	2546948	40.07
	"Census Region 4: West"	"CENS-R4"	"2008"	"2008"	"20-24 years"	"20-24"	252820	2436916	103.75
	"Census Region 4: West"	"CENS-R4"	"2008"	"2008"	"25-29 years"	"25-29"	298017	2539319	117.36
	"Census Region 4: West"	"CENS-R4"	"2008"	"2008"	"30-34 years"	"30-34"	244754	2323277	105.35
	"Census Region 4: West"	"CENS-R4"	"2008"	"2008"	"35-39 years"	"35-39"	131362	2448592	53.65
	"Census Region 4: West"	"CENS-R4"	"2008"	"2008"	"40-44 years"	"40-44"	30067	2420844	12.42
"Total"	"Census Region 4: West"	"CENS-R4"	"2008"	"2008"			1059064	14715896	71.97
	"Census Region 4: West"	"CENS-R4"	"2009"	"2009"	"15-19 years"	"15-19"	94272	2557446	36.86
	"Census Region 4: West"	"CENS-R4"	"2009"	"2009"	"20-24 years"	"20-24"	235920	2467047	95.63
	"Census Region 4: West"	"CENS-R4"	"2009"	"2009"	"25-29 years"	"25-29"	286891	2553406	112.36
	"Census Region 4: West"	"CENS-R4"	"2009"	"2009"	"30-34 years"	"30-34"	241399	2375256	101.63
	"Census Region 4: West"	"CENS-R4"	"2009"	"2009"	"35-39 years"	"35-39"	127697	2430831	52.53
	"Census Region 4: West"	"CENS-R4"	"2009"	"2009"	"40-44 years"	"40-44"	29830	2395476	12.45
"Total"	"Census Region 4: West"	"CENS-R4"	"2009"	"2009"			1016009	14779462	68.74
	"Census Region 4: West"	"CENS-R4"	"2010"	"2010"	"15-19 years"	"15-19"	83869	2550112	32.89
	"Census Region 4: West"	"CENS-R4"	"2010"	"2010"	"20-24 years"	"20-24"	222221	2494863	89.07
	"Census Region 4: West"	"CENS-R4"	"2010"	"2010"	"25-29 years"	"25-29"	278329	2548223	109.22
	"Census Region 4: West"	"CENS-R4"	"2010"	"2010"	"30-34 years"	"30-34"	241955	2421015	99.94
	"Census Region 4: West"	"CENS-R4"	"2010"	"2010"	"35-39 years"	"35-39"	125684	2403152	52.30
	"Census Region 4: West"	"CENS-R4"	"2010"	"2010"	"40-44 years"	"40-44"	30182	2405481	12.55
"Total"	"Census Region 4: West"	"CENS-R4"	"2010"	"2010"			982240	14822846	66.27
	"Census Region 4: West"	"CENS-R4"	"2011"	"2011"	"15-19 years"	"15-19"	74388	2492102	29.85
	"Census Region 4: West"	"CENS-R4"	"2011"	"2011"	"20-24 years"	"20-24"	214126	2586441	82.79
	"Census Region 4: West"	"CENS-R4"	"2011"	"2011"	"25-29 years"	"25-29"	274005	2559341	107.06
	"Census Region 4: West"	"CENS-R4"	"2011"	"2011"	"30-34 years"	"30-34"	248281	2483984	99.95
	"Census Region 4: West"	"CENS-R4"	"2011"	"2011"	"35-39 years"	"35-39"	125851	2354058	53.46
	"Census Region 4: West"	"CENS-R4"	"2011"	"2011"	"40-44 years"	"40-44"	31068	2444834	12.71
"Total"	"Census Region 4: West"	"CENS-R4"	"2011"	"2011"			967719	14920760	64.86
	"Census Region 4: West"	"CENS-R4"	"2012"	"2012"	"15-19 years"	"15-19"	68670	2460551	27.91
	"Census Region 4: West"	"CENS-R4"	"2012"	"2012"	"20-24 years"	"20-24"	210565	2644576	79.62
	"Census Region 4: West"	"CENS-R4"	"2012"	"2012"	"25-29 years"	"25-29"	273596	2561365	106.82
	"Census Region 4: West"	"CENS-R4"	"2012"	"2012"	"30-34 years"	"30-34"	256702	2534180	101.30
	"Census Region 4: West"	"CENS-R4"	"2012"	"2012"	"35-39 years"	"35-39"	130013	2357935	55.14
	"Census Region 4: West"	"CENS-R4"	"2012"	"2012"	"40-44 years"	"40-44"	31479	2459330	12.80
"Total"	"Census Region 4: West"	"CENS-R4"	"2012"	"2012"			971025	15017937	64.66
	"Census Region 4: West"	"CENS-R4"	"2013"	"2013"	"15-19 years"	"15-19"	60872	2440231	24.95
	"Census Region 4: West"	"CENS-R4"	"2013"	"2013"	"20-24 years"	"20-24"	204075	2661822	76.67
	"Census Region 4: West"	"CENS-R4"	"2013"	"2013"	"25-29 years"	"25-29"	269280	2584936	104.17
	"Census Region 4: West"	"CENS-R4"	"2013"	"2013"	"30-34 years"	"30-34"	260751	2580819	101.03
	"Census Region 4: West"	"CENS-R4"	"2013"	"2013"	"35-39 years"	"35-39"	132763	2378142	55.83
	"Census Region 4: West"	"CENS-R4"	"2013"	"2013"	"40-44 years"	"40-44"	31364	2452299	12.79
"Total"	"Census Region 4: West"	"CENS-R4"	"2013"	"2013"			959105	15098249	63.52
	"Census Region 4: West"	"CENS-R4"	"2014"	"2014"	"15-19 years"	"15-19"	54853	2430931	22.56
	"Census Region 4: West"	"CENS-R4"	"2014"	"2014"	"20-24 years"	"20-24"	200638	2670735	75.12
	"Census Region 4: West"	"CENS-R4"	"2014"	"2014"	"25-29 years"	"25-29"	273234	2657273	102.82
	"Census Region 4: West"	"CENS-R4"	"2014"	"2014"	"30-34 years"	"30-34"	272050	2626999	103.56
	"Census Region 4: West"	"CENS-R4"	"2014"	"2014"	"35-39 years"	"35-39"	139908	2427960	57.62
	"Census Region 4: West"	"CENS-R4"	"2014"	"2014"	"40-44 years"	"40-44"	31991	2444342	13.09
"Total"	"Census Region 4: West"	"CENS-R4"	"2014"	"2014"			972674	15258240	63.75
	"Census Region 4: West"	"CENS-R4"	"2015"	"2015"	"15-19 years"	"15-19"	50141	2431539	20.62
	"Census Region 4: West"	"CENS-R4"	"2015"	"2015"	"20-24 years"	"20-24"	190357	2642538	72.04
	"Census Region 4: West"	"CENS-R4"	"2015"	"2015"	"25-29 years"	"25-29"	271102	2734651	99.14
	"Census Region 4: West"	"CENS-R4"	"2015"	"2015"	"30-34 years"	"30-34"	273361	2654493	102.98
	"Census Region 4: West"	"CENS-R4"	"2015"	"2015"	"35-39 years"	"35-39"	143615	2484234	57.81
	"Census Region 4: West"	"CENS-R4"	"2015"	"2015"	"40-44 years"	"40-44"	32325	2417896	13.37
"Total"	"Census Region 4: West"	"CENS-R4"	"2015"	"2015"			960901	15365351	62.54
	"Census Region 4: West"	"CENS-R4"	"2016"	"2016"	"15-19 years"	"15-19"	45016	2434595	18.49
	"Census Region 4: West"	"CENS-R4"	"2016"	"2016"	"20-24 years"	"20-24"	180598	2593680	69.63
	"Census Region 4: West"	"CENS-R4"	"2016"	"2016"	"25-29 years"	"25-29"	271217	2809999	96.52
	"Census Region 4: West"	"CENS-R4"	"2016"	"2016"	"30-34 years"	"30-34"	277756	2669754	104.04
	"Census Region 4: West"	"CENS-R4"	"2016"	"2016"	"35-39 years"	"35-39"	148203	2536074	58.44
	"Census Region 4: West"	"CENS-R4"	"2016"	"2016"	"40-44 years"	"40-44"	32780	2378595	13.78
"Total"	"Census Region 4: West"	"CENS-R4"	"2016"	"2016"			955570	15422697	61.96
	"Census Region 4: West"	"CENS-R4"	"2017"	"2017"	"15-19 years"	"15-19"	40728	2432012	16.75
	"Census Region 4: West"	"CENS-R4"	"2017"	"2017"	"20-24 years"	"20-24"	168856	2561627	65.92
	"Census Region 4: West"	"CENS-R4"	"2017"	"2017"	"25-29 years"	"25-29"	261298	2869303	91.07
	"Census Region 4: West"	"CENS-R4"	"2017"	"2017"	"30-34 years"	"30-34"	268622	2703212	99.37
	"Census Region 4: West"	"CENS-R4"	"2017"	"2017"	"35-39 years"	"35-39"	149883	2602838	57.58
	"Census Region 4: West"	"CENS-R4"	"2017"	"2017"	"40-44 years"	"40-44"	33311	2392627	13.92
"Total"	"Census Region 4: West"	"CENS-R4"	"2017"	"2017"			922698	15561619	59.29
	"Census Region 4: West"	"CENS-R4"	"2018"	"2018"	"15-19 years"	"15-19"	36520	2438270	14.98
	"Census Region 4: West"	"CENS-R4"	"2018"	"2018"	"20-24 years"	"20-24"	157931	2545977	62.03
	"Census Region 4: West"	"CENS-R4"	"2018"	"2018"	"25-29 years"	"25-29"	251500	2896493	86.83
	"Census Region 4: West"	"CENS-R4"	"2018"	"2018"	"30-34 years"	"30-34"	264970	2732232	96.98
	"Census Region 4: West"	"CENS-R4"	"2018"	"2018"	"35-39 years"	"35-39"	151602	2654682	57.11
	"Census Region 4: West"	"CENS-R4"	"2018"	"2018"	"40-44 years"	"40-44"	33385	2409479	13.86
"Total"	"Census Region 4: West"	"CENS-R4"	"2018"	"2018"			895908	15677133	57.15
	"Census Region 4: West"	"CENS-R4"	"2019"	"2019"	"15-19 years"	"15-19"	33943	2440879	13.91
	"Census Region 4: West"	"CENS-R4"	"2019"	"2019"	"20-24 years"	"20-24"	151030	2519086	59.95
	"Census Region 4: West"	"CENS-R4"	"2019"	"2019"	"25-29 years"	"25-29"	247425	2890250	85.61
	"Census Region 4: West"	"CENS-R4"	"2019"	"2019"	"30-34 years"	"30-34"	263408	2775753	94.90
	"Census Region 4: West"	"CENS-R4"	"2019"	"2019"	"35-39 years"	"35-39"	153232	2685893	57.05
	"Census Region 4: West"	"CENS-R4"	"2019"	"2019"	"40-44 years"	"40-44"	34139	2433779	14.03
"Total"	"Census Region 4: West"	"CENS-R4"	"2019"	"2019"			883177	15745640	56.09
	"Census Region 4: West"	"CENS-R4"	"2020"	"2020"	"15-19 years"	"15-19"	30262	2437196	12.42
	"Census Region 4: West"	"CENS-R4"	"2020"	"2020"	"20-24 years"	"20-24"	140986	2508002	56.21
	"Census Region 4: West"	"CENS-R4"	"2020"	"2020"	"25-29 years"	"25-29"	232899	2845470	81.85
	"Census Region 4: West"	"CENS-R4"	"2020"	"2020"	"30-34 years"	"30-34"	256364	2833396	90.48
	"Census Region 4: West"	"CENS-R4"	"2020"	"2020"	"35-39 years"	"35-39"	149298	2699880	55.30
	"Census Region 4: West"	"CENS-R4"	"2020"	"2020"	"40-44 years"	"40-44"	33609	2478638	13.56
"Total"	"Census Region 4: West"	"CENS-R4"	"2020"	"2020"			843418	15802582	53.37
	"Census Region 4: West"	"CENS-R4"	"2021"	"2021"	"15-19 years"	"15-19"	27880	Not Available	Not Available
	"Census Region 4: West"	"CENS-R4"	"2021"	"2021"	"20-24 years"	"20-24"	136555	Not Available	Not Available
	"Census Region 4: West"	"CENS-R4"	"2021"	"2021"	"25-29 years"	"25-29"	231729	Not Available	Not Available
	"Census Region 4: West"	"CENS-R4"	"2021"	"2021"	"30-34 years"	"30-34"	264401	Not Available	Not Available
	"Census Region 4: West"	"CENS-R4"	"2021"	"2021"	"35-39 years"	"35-39"	154369	Not Available	Not Available
	"Census Region 4: West"	"CENS-R4"	"2021"	"2021"	"40-44 years"	"40-44"	34794	Not Available	Not Available
"Total"	"Census Region 4: West"	"CENS-R4"	"2021"	"2021"			849728	Not Available	Not Available
	"Census Region 4: West"	"CENS-R4"	"2022"	"2022"	"15-19 years"	"15-19"	27391	Not Available	Not Available
	"Census Region 4: West"	"CENS-R4"	"2022"	"2022"	"20-24 years"	"20-24"	132943	Not Available	Not Available
	"Census Region 4: West"	"CENS-R4"	"2022"	"2022"	"25-29 years"	"25-29"	226131	Not Available	Not Available
	"Census Region 4: West"	"CENS-R4"	"2022"	"2022"	"30-34 years"	"30-34"	263936	Not Available	Not Available
	"Census Region 4: West"	"CENS-R4"	"2022"	"2022"	"35-39 years"	"35-39"	157172	Not Available	Not Available
	"Census Region 4: West"	"CENS-R4"	"2022"	"2022"	"40-44 years"	"40-44"	36875	Not Available	Not Available
"Total"	"Census Region 4: West"	"CENS-R4"	"2022"	"2022"			844448	Not Available	Not Available
"Total"	"Census Region 4: West"	"CENS-R4"					15161121	212820446	71.24
"Total"							62596581	885177153	70.72
"---"
"Dataset: Natality, 2007-2022"
"Query Parameters:"
"Title: natality_age_year_census_07_22"
"Age of Mother 9: 15-19 years; 20-24 years; 25-29 years; 30-34 years; 35-39 years; 40-44 years"
"Year: 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022"
"Group By: Census Region; Year; Age of Mother 9"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"Population Option: Default intercensal populations for years 2007-2009"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality.html for more information."
"---"
"Query Date: Jan 10, 2024 11:08:50 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2007-2022, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-current.html on Jan 10, 2024 11:08:50 PM"
"---"
Caveats:
"1. 'Not Available' appears when the denominator population for a rate measure is not available."
"2. Each birth record represents one liveborn infant."
"3. Fertility rates are calculated as the number of births divided by the number of females age 15 - 44 years old in the given"
"year(s). When the numerator is sub-set by mother's age, mother's race, mother's hispanicity, location, or year of birth, then"
"the same sub-set for age, race, hispanicity, location and year applies to the denominator population. However, if you sub-set"
"mother's age selecting some years not in the 15 - 44 range, those years of mother's age ouside this range will not be included"
"in the denominator population. If you sub-set mother's age selecting only years outside the 15 - 44 range, ""Not Available"" is"
"reported for the denominator population. Single race categories are not available for births before year 2016. Bridged race"
"categories are not available for births after year 2019."
"4. Birth rates and fertility rates are calculated using the following populations: The populations for year 2021 are from the"
"postcensal single race series of July 1st estimates of the resident population, released by Census Bureau on June 30, 2022. The"
"2021 population estimates are based on the Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial"
"population count. Bridged race population figures are not available for year 2021. The populations for year 2020 are from the"
"postcensal single-race series of July 1st estimates of the resident population, released by Census Bureau on July 27, 2021; and"
"the postcensal bridged-race series of July 1st estimates of the resident population, released by NCHS on September 22, 2021 (for"
"fertility rate denominators by detailed age groups). The populations for year 2019 are from the postcensal single-race series of"
"July 1st estimates of the resident population, released by Census Bureau on June 25, 2020; and the postcensal bridged-race"
"series of July 1st estimates of the resident population, released by NCHS on July 9, 2020. The populations for year 2018 are"
"from the postcensal single-race series of July 1st estimates of the resident population, released by Census Bureau on June 21,"
"2019; and the postcensal bridged-race series of July 1st estimates of the resident population, released by NCHS on June 27,"
"2019. The populations for year 2017 are from the postcensal single-race series of July 1st estimates of the resident population,"
"released by Census Bureau on June 21, 2018; and the postcensal bridged-race series of July 1st estimates of the resident"
"population, released by NCHS on June 27, 2018. The populations for year 2016 are from the postcensal single-race series of July"
"1st estimates of the resident population, released by Census Bureau on June 22, 2017; and the postcensal bridged-race series of"
"July 1st estimates of the resident population, released by NCHS on June 26, 2017. The populations for year 2015 are from the"
"postcensal bridged-race series of July 1st estimates of the resident population, released by NCHS on June 28, 2016. The"
"populations for year 2014 are from the postcensal bridged-race series of July 1st estimates of the resident population, released"
"by NCHS on June 30, 2015. The populations for year 2013 are from the postcensal bridged-race series of July 1st estimates of the"
"resident population, released by NCHS on June 26, 2014. The populations for year 2012 are from the postcensal bridged-race"
"series of July 1st estimates of the resident population, released by NCHS on June 13, 2013. The populations for year 2011 are"
"from the postcensal bridged-race series of July 1st estimates of the resident population, released by NCHS on July 18, 2012. The"
"populations for year 2010 are the bridged-race April 1, 2010 Census counts. The populations for years 2007-2009 are from the"
"revised intercensal bridged-race series of July 1st estimates of the resident population, released by NCHS on October 26, 2012."
"More information: http://wonder.cdc.gov/wonder/help/Natality.html#Denominator-Population-Sources."
