"Notes"	"Standard Residence Census Region"	"Standard Residence Census Region Code"	"Mother's Single Race 6"	"Mother's Single Race 6 Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Year"	"Year Code"	"Month"	"Month Code"	Fetal Deaths
	"Census Region 1: Northeast"	"CENS-R1"	"White"	"2106-3"	"40-44 years"	"40-44"	"2021"	"2021"	"December"	"12"	12
	"Census Region 2: Midwest"	"CENS-R2"	"Asian"	"A"	"30-34 years"	"30-34"	"2018"	"2018"	"September"	"9"	10
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"2019"	"2019"	"January"	"1"	10
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"2019"	"2019"	"February"	"2"	10
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"2019"	"2019"	"March"	"3"	12
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"2020"	"2020"	"October"	"10"	10
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"2021"	"2021"	"May"	"5"	12
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"2021"	"2021"	"September"	"9"	10
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2018"	"2018"	"January"	"1"	26
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2018"	"2018"	"February"	"2"	22
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2018"	"2018"	"March"	"3"	31
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2018"	"2018"	"April"	"4"	21
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2018"	"2018"	"May"	"5"	24
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2018"	"2018"	"June"	"6"	31
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2018"	"2018"	"July"	"7"	26
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2018"	"2018"	"August"	"8"	33
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2018"	"2018"	"September"	"9"	20
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2018"	"2018"	"October"	"10"	22
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2018"	"2018"	"November"	"11"	18
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2018"	"2018"	"December"	"12"	29
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2019"	"2019"	"January"	"1"	19
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2019"	"2019"	"February"	"2"	17
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2019"	"2019"	"March"	"3"	22
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2019"	"2019"	"April"	"4"	26
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2019"	"2019"	"May"	"5"	31
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2019"	"2019"	"June"	"6"	15
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2019"	"2019"	"July"	"7"	22
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2019"	"2019"	"August"	"8"	26
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2019"	"2019"	"September"	"9"	23
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2019"	"2019"	"October"	"10"	23
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2019"	"2019"	"November"	"11"	27
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2019"	"2019"	"December"	"12"	16
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2020"	"2020"	"January"	"1"	21
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2020"	"2020"	"February"	"2"	21
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2020"	"2020"	"March"	"3"	21
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2020"	"2020"	"April"	"4"	20
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2020"	"2020"	"May"	"5"	18
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2020"	"2020"	"June"	"6"	20
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2020"	"2020"	"July"	"7"	14
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2020"	"2020"	"August"	"8"	30
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2020"	"2020"	"September"	"9"	18
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2020"	"2020"	"October"	"10"	22
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2020"	"2020"	"November"	"11"	10
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2020"	"2020"	"December"	"12"	19
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2021"	"2021"	"January"	"1"	22
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2021"	"2021"	"February"	"2"	22
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2021"	"2021"	"March"	"3"	21
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2021"	"2021"	"April"	"4"	24
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2021"	"2021"	"May"	"5"	18
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2021"	"2021"	"June"	"6"	16
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2021"	"2021"	"July"	"7"	14
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2021"	"2021"	"August"	"8"	20
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2021"	"2021"	"September"	"9"	23
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2021"	"2021"	"October"	"10"	16
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2021"	"2021"	"November"	"11"	25
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2021"	"2021"	"December"	"12"	13
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2018"	"2018"	"January"	"1"	30
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2018"	"2018"	"February"	"2"	32
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2018"	"2018"	"March"	"3"	35
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2018"	"2018"	"April"	"4"	32
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2018"	"2018"	"May"	"5"	40
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2018"	"2018"	"June"	"6"	35
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2018"	"2018"	"July"	"7"	27
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2018"	"2018"	"August"	"8"	33
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2018"	"2018"	"September"	"9"	32
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2018"	"2018"	"October"	"10"	30
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2018"	"2018"	"November"	"11"	20
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2018"	"2018"	"December"	"12"	30
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2019"	"2019"	"January"	"1"	27
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2019"	"2019"	"February"	"2"	28
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2019"	"2019"	"March"	"3"	30
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2019"	"2019"	"April"	"4"	22
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2019"	"2019"	"May"	"5"	32
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2019"	"2019"	"June"	"6"	31
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2019"	"2019"	"July"	"7"	25
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2019"	"2019"	"August"	"8"	31
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2019"	"2019"	"September"	"9"	24
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2019"	"2019"	"October"	"10"	34
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2019"	"2019"	"November"	"11"	28
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2019"	"2019"	"December"	"12"	24
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2020"	"2020"	"January"	"1"	23
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2020"	"2020"	"February"	"2"	28
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2020"	"2020"	"April"	"4"	29
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2020"	"2020"	"May"	"5"	26
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2020"	"2020"	"June"	"6"	20
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2020"	"2020"	"July"	"7"	36
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2020"	"2020"	"August"	"8"	28
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2020"	"2020"	"September"	"9"	25
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2020"	"2020"	"October"	"10"	23
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2020"	"2020"	"November"	"11"	14
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2020"	"2020"	"December"	"12"	27
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2021"	"2021"	"January"	"1"	27
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2021"	"2021"	"February"	"2"	20
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2021"	"2021"	"March"	"3"	18
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2021"	"2021"	"April"	"4"	28
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2021"	"2021"	"May"	"5"	30
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2021"	"2021"	"June"	"6"	29
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2021"	"2021"	"July"	"7"	17
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2021"	"2021"	"August"	"8"	17
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2021"	"2021"	"September"	"9"	27
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2021"	"2021"	"October"	"10"	19
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2021"	"2021"	"November"	"11"	24
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2021"	"2021"	"December"	"12"	28
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2018"	"2018"	"January"	"1"	26
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2018"	"2018"	"February"	"2"	20
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2018"	"2018"	"March"	"3"	19
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2018"	"2018"	"April"	"4"	17
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2018"	"2018"	"May"	"5"	30
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2018"	"2018"	"June"	"6"	20
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2018"	"2018"	"July"	"7"	20
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2018"	"2018"	"August"	"8"	30
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2018"	"2018"	"September"	"9"	28
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2018"	"2018"	"October"	"10"	20
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2018"	"2018"	"November"	"11"	19
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2018"	"2018"	"December"	"12"	21
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2019"	"2019"	"January"	"1"	24
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2019"	"2019"	"February"	"2"	21
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2019"	"2019"	"March"	"3"	25
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2019"	"2019"	"April"	"4"	15
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2019"	"2019"	"May"	"5"	23
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2019"	"2019"	"June"	"6"	18
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2019"	"2019"	"July"	"7"	19
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2019"	"2019"	"August"	"8"	27
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2019"	"2019"	"September"	"9"	23
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2019"	"2019"	"October"	"10"	24
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2019"	"2019"	"November"	"11"	17
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2019"	"2019"	"December"	"12"	28
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2020"	"2020"	"January"	"1"	11
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2020"	"2020"	"February"	"2"	15
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2020"	"2020"	"March"	"3"	18
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2020"	"2020"	"April"	"4"	20
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2020"	"2020"	"May"	"5"	22
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2020"	"2020"	"June"	"6"	31
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2020"	"2020"	"July"	"7"	28
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2020"	"2020"	"August"	"8"	28
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2020"	"2020"	"September"	"9"	25
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2020"	"2020"	"October"	"10"	17
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2020"	"2020"	"November"	"11"	13
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2020"	"2020"	"December"	"12"	20
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2021"	"2021"	"January"	"1"	15
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2021"	"2021"	"February"	"2"	19
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2021"	"2021"	"March"	"3"	19
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2021"	"2021"	"April"	"4"	18
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2021"	"2021"	"May"	"5"	21
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2021"	"2021"	"June"	"6"	20
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2021"	"2021"	"July"	"7"	17
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2021"	"2021"	"August"	"8"	16
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2021"	"2021"	"September"	"9"	21
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2021"	"2021"	"October"	"10"	27
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2021"	"2021"	"November"	"11"	18
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2021"	"2021"	"December"	"12"	22
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2018"	"2018"	"January"	"1"	10
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2018"	"2018"	"February"	"2"	10
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2018"	"2018"	"March"	"3"	12
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2018"	"2018"	"April"	"4"	12
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2018"	"2018"	"May"	"5"	13
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2018"	"2018"	"June"	"6"	11
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2018"	"2018"	"September"	"9"	10
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2018"	"2018"	"November"	"11"	12
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2018"	"2018"	"December"	"12"	11
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2019"	"2019"	"January"	"1"	21
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2019"	"2019"	"February"	"2"	10
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2019"	"2019"	"March"	"3"	12
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2019"	"2019"	"April"	"4"	16
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2019"	"2019"	"May"	"5"	11
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2019"	"2019"	"June"	"6"	10
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2019"	"2019"	"July"	"7"	11
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2019"	"2019"	"August"	"8"	12
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2019"	"2019"	"September"	"9"	13
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2019"	"2019"	"October"	"10"	13
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2019"	"2019"	"November"	"11"	17
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2019"	"2019"	"December"	"12"	13
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2020"	"2020"	"January"	"1"	10
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2020"	"2020"	"March"	"3"	13
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2020"	"2020"	"April"	"4"	11
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2020"	"2020"	"May"	"5"	13
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2020"	"2020"	"June"	"6"	12
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2020"	"2020"	"July"	"7"	18
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2020"	"2020"	"August"	"8"	12
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2020"	"2020"	"September"	"9"	10
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2020"	"2020"	"October"	"10"	21
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2020"	"2020"	"November"	"11"	13
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2021"	"2021"	"January"	"1"	13
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2021"	"2021"	"March"	"3"	13
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2021"	"2021"	"April"	"4"	10
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2021"	"2021"	"May"	"5"	17
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2021"	"2021"	"June"	"6"	16
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2021"	"2021"	"August"	"8"	10
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2021"	"2021"	"September"	"9"	14
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2021"	"2021"	"October"	"10"	11
